donor_id,acceptor_id,donor_smiles,acceptor_smiles
CVFPGSFHMSWTJO-UHFFFAOYSA-N,WUOVLESNFRORAI-UHFFFAOYSA-N,Cc1ccc(CC(F)C=O)cc1,Cc1cncc(COc2ccc(F)cc2C=O)c1
IBURTVNSHFFSIH-NSHDSACASA-N,QEVUZKGSBISQGA-UHFFFAOYSA-N,Cc1ccc([C@@H](C=O)C2CC2)cc1F,O=Cc1cc(F)c(I)cc1Br
AUOFTPXWUVYOOQ-VJBMQPMPSA-N,IBROCXGCVZFGDG-UHFFFAOYSA-N,C/C=C1/CN2CCc3c([nH]c4ccccc34)[C@@H]2C[C@@H]1C(C=O)C(=O)OC,CCOC(=O)CC=Cc1ccc(C(F)(F)F)cc1C=O
PQGHXYJZXDURCP-UHFFFAOYSA-N,BGARBQVQMJPALC-UHFFFAOYSA-N,CC(C=O)c1cccc(Oc2ccc(F)cc2)c1,O=Cc1cc(F)ccc1OCC(F)(F)c1ccccc1
NJCKPHTYGRPUNK-UHFFFAOYSA-N,LYSIUXARTHYLLP-UHFFFAOYSA-N,O=Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,CCCCCCCCC(C=O)(c1ccccc1)C(F)(F)F
XKTYXYJLOIYAPV-GFCCVEGCSA-N,WAZFBANCNPCOEM-UHFFFAOYSA-N,CC(C)(C)OC(=O)N[C@H](CC=O)c1ccccc1F,CCOC(=O)CCCc1cc(F)c(F)c(C=O)c1F
QXMZXJNHNDIKGY-UHFFFAOYSA-N,ZCBYIAQXEDBIPK-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(-c2ccccc2C=O)cc1,Cc1ccc(CC(C)C=O)c(C)c1
HWYOWPBJJSAKEK-UHFFFAOYSA-N,IEGAHJZJODNCSI-UHFFFAOYSA-N,COC(=O)c1cc(C=O)c(C#N)cc1F,O=CCCc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3
KKWXCGOSYMIOAS-UHFFFAOYSA-N,MGIGIYLRSHGUIW-UHFFFAOYSA-N,O=Cc1ccc(C(F)(F)F)cc1N1CC2CC1CN2,Cc1ccc(S(=O)(=O)n2cc(C3CC3C=O)c3cc(F)c(F)cc32)cc1
PWPUOJQPFQXOMU-UHFFFAOYSA-N,PMFVCGBQKRYARY-UHFFFAOYSA-N,CCOC(=O)c1cc(C#N)c(C=O)cc1OC(F)F,O=CCCOc1ccc(C(F)(F)F)cc1[N+](=O)[O-]
